estado,mover_adelante,mover_atras,girar_izquierda,girar_derecha,esperar,seleccionar_objetivo
"(0, 0)",4.271577979381035,4.179568602805411,3.973225435204546,3.5032200937646993,4.121009071644723,4.207496456111066
"(0, 1)",4.424307124333893,4.45413882102341,4.329046788193736,3.9743131002259613,4.241498262375103,4.304311920825696
"(0, 2)",4.663983262096334,4.477614454827135,4.384308047620975,4.358768031777518,4.345208222173263,4.33720031413612
"(0, 3)",4.3516672807984715,4.426319135722259,4.304971997236398,4.304028530159413,4.304278617473997,4.379141567813178
"(0, 4)",4.501005185622066,4.313912335919551,4.364679220903442,4.333121282472384,4.335449312884927,4.454891839117811
"(0, 5)",4.362776627641573,4.49764348173548,4.267954842083542,4.383583447379942,4.276433662370214,4.281313772819328
"(0, 6)",4.249947488384644,4.3029567919177385,4.299016626569656,4.297257068487325,4.286847674723215,4.398165272670877
"(0, 7)",4.140116298384026,4.374205200792871,4.234016913280007,4.219217443479646,4.2144536462718705,4.3147379268723585
"(0, 8)",4.596591618613252,4.521395566486753,4.464806996413005,4.4643789211588265,4.3883680865287635,4.558849094705686
"(0, 9)",4.540419206411714,4.610216353770811,4.39656544450349,4.354643097208283,4.4100687649732455,4.515865131017424
"(0, 10)",4.554540419432431,4.477195637933098,4.410647905889314,4.381973326561633,4.412578607952066,4.50324763606736
"(0, 11)",4.614633170540476,4.313486754450252,4.364262081243322,4.36259821319557,4.36611695532413,4.405100800534603
"(0, 12)",4.377549140606256,4.405639245121872,4.3263242303696545,4.325398968539785,4.3243562364909245,4.3872111715145845
"(0, 13)",4.4354534927123135,4.511808810586539,4.245470577021525,4.374402312863429,4.057070854215038,4.413563674300094
"(0, 14)",4.340820981458943,4.557600724248499,4.360505724716848,4.337758533092313,4.336147262115317,4.441688057474231
"(1, 0)",4.352221884167099,4.428344026947301,4.165846725681033,4.1491277921803285,4.144174082693764,4.244565886917418
"(1, 1)",4.155814395475902,4.413415625371048,4.2366255943003,4.236571790973793,4.258398611147256,4.360008412598881
"(1, 2)",4.67019742481322,4.686408548854449,4.540064744461933,4.428094201844966,4.337741774577931,4.542209889909536
"(1, 3)",4.5447407589262205,4.49788332604143,4.229248356466639,4.305752653314259,4.290127448745185,4.4524268933893785
"(1, 4)",4.60930924808356,4.346119596928437,4.345421783526085,4.3566707514316825,4.310342131068583,4.3686091207966
"(1, 5)",4.356552152741804,4.428560783062911,4.27447651500183,4.2993998201417325,4.373604585722125,4.379098955865722
"(1, 6)",4.2977129552858955,4.383091388099158,4.430160124535146,4.448328843149791,4.44703630266063,4.573100505123366
"(1, 7)",4.43377758724491,4.542759944638012,4.40698012254893,4.3814110502167605,4.40530732840067,4.483060804565376
"(1, 8)",4.45799276103839,4.535114976331652,4.402850832034635,4.394317710566283,4.396458249260363,4.519988797548279
"(1, 9)",4.418204562186429,4.60542768574362,4.099934745305109,4.3220926206533266,4.317875028513055,4.441090424416533
"(1, 10)",4.487499826224643,4.591956811429609,4.431816814244313,4.4287614548065015,4.503904245220124,4.587224753876256
"(1, 11)",4.613610594790983,4.598180587864915,4.413030724966079,4.424088011565351,4.411417700018915,4.476226841218892
"(1, 12)",4.402834502800984,4.381253880242792,4.378579280827687,4.377990634810631,4.351732781231946,4.47212944382971
"(1, 13)",4.3989171611735145,4.570255243140558,4.274165342154571,4.253066901232464,4.182346325386004,4.3739924860480315
"(1, 14)",4.4959930658921134,4.607748552800362,4.470385429098089,4.476230594729432,4.477350291051924,4.576527361134695
"(2, 0)",4.2126889636881755,4.55504504983384,4.171429018278961,4.269793549656552,4.04820233853038,4.443671299344768
"(2, 1)",4.3981336978266,4.515834433962061,4.3079801225501875,4.37203108062167,4.315133861007569,4.465394046821767
"(2, 2)",4.598694223311334,4.627973940108737,4.504021789420475,4.491297223800506,4.471207940851941,4.53261415045402
"(2, 3)",4.419459457817663,4.355269817451155,4.421765226053969,4.415343180811566,4.392453818650456,4.4306813199789765
"(2, 4)",4.427529676794941,4.44243267874214,4.420160145998737,4.4145407347229355,4.4213066912868575,4.446128877520117
"(2, 5)",4.3856630789506665,4.533427848188675,4.414090614992906,4.332503327751294,4.403066502522985,4.33639482286072
"(2, 6)",4.502833930235166,4.512851572619284,4.382201600169383,4.381193503375007,4.385248520449529,4.451555857516399
"(2, 7)",4.3966391339412425,4.326545865026107,4.324223792552809,4.2768498836588815,4.293891968077891,4.2294916649652885
"(2, 8)",4.319630167856522,4.382780936307237,4.265620437105997,4.6467905203384525,4.267822928659591,5.052672260418898
"(2, 9)",4.636937912082509,4.592275380637319,4.446530816713679,4.150160350809804,4.357832041583183,4.339098977416872
"(2, 10)",4.5169218896510195,4.603615304234643,4.481246200267844,4.49230428218518,4.473475088518701,4.509740752752961
"(2, 11)",4.474572262703545,4.476952831406736,4.4450137272184564,4.439668463011508,4.4323573885952925,4.522074316454506
"(2, 12)",4.50143576050705,4.466350666556137,4.362215987217014,4.376328955661258,4.372127881638404,4.429569032738671
"(2, 13)",4.5752848906693,4.5306715353533065,4.304647239279788,4.332478490319102,4.30865266491581,4.474286319083801
"(2, 14)",4.543792678217596,4.639946618692446,4.55057838522337,4.538299890222847,4.570661387157127,4.542301103778412
"(3, 0)",4.3495020269769205,4.2100537790133385,4.214977195540477,4.168940654850191,4.125266413246258,4.276290314236834
"(3, 1)",4.661168984781539,4.454146468441084,4.285990088664911,4.413455298129894,4.178281351702852,4.41211386830353
"(3, 2)",4.430943277062013,4.547831678171807,4.441522575506243,4.445918549902684,4.457027212063973,4.557916440041552
"(3, 3)",4.398045703193956,4.487127950122336,4.263138265980427,4.26033223295699,4.263293173585909,4.378119390857947
"(3, 4)",4.401527603849532,4.467790865076433,4.367402442599309,4.367504735126497,4.367422130889568,4.369854887076629
"(3, 5)",4.410848027192396,4.561266754212104,4.3408105926954645,4.456560545954747,4.353519872951011,4.3454911834470655
"(3, 6)",4.5347816547308275,4.650812641173822,4.4571188597400075,4.412019333478666,4.41103993152898,4.512611462821264
"(3, 7)",4.41374228797149,4.40014739497017,4.257937591796174,4.279951434465148,4.273825469240272,4.310448367238548
"(3, 8)",4.408877006094609,4.252403916839645,4.2426161442592205,4.242515185244033,4.234246126649933,4.347923764803032
"(3, 9)",4.435420174435675,4.483924220439592,4.3623422530476805,4.3714494937500294,4.356947039905625,4.488301808332361
"(3, 10)",4.462031546534448,4.635822792732586,4.423637559402625,4.423767668079105,4.422718133378599,4.487747089084477
"(3, 11)",4.43112325047288,4.425823424469676,4.313111534435283,4.306081389505751,4.3055024888684645,4.394797528298242
