estado,mover_adelante,mover_atras,girar_izquierda,girar_derecha,esperar,seleccionar_objetivo
"(0, 0)",4.493729283538226,4.626012113970027,4.399782382806084,4.33265108382203,4.33549510418887,4.518854556771206
"(0, 1)",4.410785448749604,4.637760664020076,4.469207288665526,4.464201503978149,4.461722002684391,4.565930117435977
"(0, 2)",4.598362376551533,4.520521679817281,4.4839859401392745,4.594472470632655,4.623331774250701,4.57733877236059
"(0, 3)",4.73658268247185,4.600383248836358,4.56392080169819,4.595401242966211,4.583871151616619,4.622614242256097
"(0, 4)",4.5623341076193045,4.722531502354988,4.543213769461149,4.518524037482324,4.5174517909131975,4.63994286948436
"(0, 5)",4.569583160489393,4.529449473647559,4.451552910514819,4.505196312312669,4.451281454833306,4.459730758655151
"(0, 6)",4.394866525976776,4.460246244355803,4.354163308366706,4.365442928670398,4.361558415756804,4.43756048320547
"(0, 7)",4.411814097263464,4.464765096356339,4.530882102038087,4.408288091216919,4.347141974193452,4.516192866856346
"(0, 8)",4.738398783528221,4.698560274166504,4.832243641148457,4.6915998147515205,4.803390081880424,4.668290838869722
"(0, 9)",4.6935211197163875,4.68848242938618,4.5610117525356175,4.584127530566196,4.564747800664554,4.643322751200318
"(0, 10)",4.630790612672656,4.64473612690389,4.547798554335094,4.571943513620122,4.522085675976968,4.521984473372243
"(0, 11)",4.506736109458917,4.625509034744182,4.506905787007536,4.50799993223595,4.512739990372314,4.638857943569569
"(0, 12)",4.505915261689963,4.545466557486034,4.468549676585393,4.4667404308146645,4.469017886653501,4.473884411870365
"(0, 13)",4.580287070820776,4.3454601354418205,4.378018954828575,4.382172802341762,4.380684062810101,4.479678996368278
"(0, 14)",4.547503425454348,4.322373843449132,4.424888681956097,4.394504767964482,4.413007541699206,4.520014519370913
"(1, 0)",4.4984456281911935,4.748375561318078,4.583427957544655,4.57499627060578,4.544425386268307,4.576158915199169
"(1, 1)",4.4586110992335115,4.55622781090095,4.4562373961040835,4.477350695057848,4.4540066655948465,4.582751081174462
"(1, 2)",4.495599856728397,4.577982913732663,4.430255975754134,4.544023973618691,4.517638747872871,4.481197438537122
"(1, 3)",4.750202047250752,4.65584020148734,4.585114047722313,4.5862948709647915,4.594697471953689,4.618214972477583
"(1, 4)",4.738146075141643,4.641860509415597,4.574996506379377,4.575458144448058,4.544933506966504,4.602589336878658
"(1, 5)",4.700970623895563,4.654006345276159,4.487377753300938,4.5651707822076855,4.564774707615219,4.594455823713042
"(1, 6)",4.633042181548293,4.6836452013439045,4.5030693792882985,4.500971021101331,4.546380302876677,4.611056188132456
"(1, 7)",4.764543369128503,4.59612002512327,4.588596146153557,4.499992469105886,4.468472061857429,4.609960452706468
"(1, 8)",4.847547171620866,4.668597571713449,4.652533900680812,4.654371353850524,4.683253312165579,4.671778448750721
