estado,mover_adelante,mover_atras,girar_izquierda,girar_derecha,esperar
"(5, 1, True)",0,0,0,0,0
"(5, 1, False)",0,0,0,0,0
"(5, 2, True)",0,0,0,0,0
"(5, 2, False)",0,0,0,0,0
"(5, 3, True)",0,0,0,0,0
"(5, 3, False)",0,0,0,0,0
"(5, 4, True)",0,0,0,0,0
"(5, 4, False)",0,0,0,0,0
"(5, 5, True)",0,0,0,0,0
"(5, 5, False)",0,0,0,0,0
"(5, 6, True)",0,0,0,0,0
"(5, 6, False)",0,0,0,0,0
"(5, 7, True)",0,0,0,0,0
"(5, 7, False)",0,0,0,0,0
"(5, 8, True)",0,0,0,0,0
"(5, 8, False)",0,0,0,0,0
"(5, 9, True)",0,0,0,0,0
"(5, 9, False)",0,0,0,0,0
"(5, 10, True)",0,0,0,0,0
"(5, 10, False)",0,0,0,0,0
"(5, 11, True)",0,0,0,0,0
"(5, 11, False)",0,0,0,0,0
"(5, 12, True)",0,0,0,0,0
"(5, 12, False)",0,0,0,0,0
"(5, 13, True)",0,0,0,0,0
"(5, 13, False)",0,0,0,0,0
"(5, 14, True)",0,0,0,0,0
"(5, 14, False)",0,0,0,0,0
"(6, 0, True)",0.0,0.0,0.0,0.0,0.0
"(6, 0, False)",0.0,0.0,0.0,0.0,0.0
"(6, 1, True)",0,0,0,0,0
"(6, 1, False)",0,0,0,0,0
"(6, 2, True)",0,0,0,0,0
"(6, 2, False)",0,0,0,0,0
"(6, 3, True)",0,0,0,0,0
"(6, 3, False)",0,0,0,0,0
"(6, 4, True)",0,0,0,0,0
"(6, 4, False)",0,0,0,0,0
"(6, 5, True)",0,0,0,0,0
"(6, 5, False)",0,0,0,0,0
"(6, 6, True)",0,0,0,0,0
"(6, 6, False)",0,0,0,0,0
"(6, 7, True)",0,0,0,0,0
"(6, 7, False)",0,0,0,0,0
"(6, 8, True)",0,0,0,0,0
"(6, 8, False)",0,0,0,0,0
"(6, 9, True)",0,0,0,0,0
"(6, 9, False)",0,0,0,0,0
"(6, 10, True)",0,0,0,0,0
"(6, 10, False)",0,0,0,0,0
"(6, 11, True)",0,0,0,0,0
"(6, 11, False)",0,0,0,0,0
"(6, 12, True)",0,0,0,0,0
"(6, 12, False)",0,0,0,0,0
"(6, 13, True)",0,0,0,0,0
"(6, 13, False)",0,0,0,0,0
"(6, 14, True)",0,0,0,0,0
